speaker,final_accumulative_sentiment,final_average_sentiment
eddison tollett,-11.025202333927155,-0.38461538461538464
greizhen,-2.885565280914306,-1.0
ros,80.93618982378393,0.24324324324324326
craster,-1.3994357325136662,0.030303030303030304
martyn,7.426325082778931,0.3333333333333333
willem,-1.8907307386398315,-1.0
rickard karstark,-39.1700493991375,-0.7391304347826086
roose bolton,-18.084204472601414,-0.30434782608695654
anguy,-2.464572474360466,-0.13333333333333333
violet,7.721360206604004,0.07692307692307693
steelshanks walton,5.0674216747283936,0.14285714285714285
prendahl,-6.978830337524414,-0.42857142857142855
mero,10.562317609786987,0.0
merry,4.590554237365723,1.0
orell,9.241323344409466,0.09090909090909091
roslin,2.2346012592315674,1.0
septon,7.636215716600418,0.3333333333333333
talisa,-40.94680497050285,-0.1504424778761062
frey guard,-12.238608956336975,-1.0
frey man,3.103663206100464,0.3333333333333333
morgan,-9.61483919620514,-0.42857142857142855
polliver,3.4591034948825836,-0.037037037037037035
fennesz,13.98985904455185,0.25
tansy,-4.69640588760376,-0.3333333333333333
axell florent,7.445080876350403,0.3333333333333333
farmer hamlet,9.456825733184814,0.16666666666666666
mole's town madam,-8.774406433105469,-1.0
guymon,-7.483233451843262,-1.0
olly's mother,-3.607002973556519,-1.0
elder meereen slave,-11.298914909362793,-1.0
great master #1,-2.4050934314727783,-1.0
slaves,9.126991510391235,1.0
barristan selmy,16.794622346758842,0.13333333333333333
sissy,7.951619625091553,1.0
rast,-38.21955877542496,-0.41935483870967744
locke,12.160293325781822,0.0967741935483871
jojen,18.07661598920822,0.11688311688311688
karl tanner,-22.094569504261017,-0.5384615384615384
morag,-3.0967052578926086,0.0
lhara,2.7188832759857178,1.0
ironborn,-2.0118110179901123,0.0
goatherd,5.834977746009827,1.0
meryn trant,-9.513276755809782,-0.4
shae,-101.4601006731391,-0.1592920353982301
dying man,-20.624086022377014,-0.6
rorge,4.246045768260954,0.4
janos slynt,-2.2847596406936646,-0.058823529411764705
mole's town whore,-14.605542987585068,-0.5
ralf,-13.37604820728302,-0.5555555555555556
oberyn,-30.09800524264574,-0.07575757575757576
thenn warg,2.742825508117676,1.0
styr,-8.14089760184288,0.058823529411764705
night's watch,-11.865407466888428,-1.0
cooper,-1.919114112854004,-1.0
donnel,-7.379902362823486,-0.5
grenn,-36.337317943573,-0.1724137931034483
ygritte,-104.4023227095604,-0.25146198830409355
maggy,10.082493305206299,0.4
melara,-1.837537646293642,-0.14285714285714285
white rat,3.3492119312286377,1.0
lancel lannister,-5.884336709976196,-0.25
kevan lannister,-9.248181231319904,-0.3333333333333333
daario naharis,-2.742981433868408,-1.0
hizdahr zo loraq,4.405920028686523,1.0
mance,-3.466787666082382,-0.1076923076923077
lollys stokeworth,0.7808651924133301,1.0
old man,13.038661539554596,0.14285714285714285
mossador,-3.46005618572235,-0.06666666666666667
high septon,32.36988517642021,0.4117647058823529
walda,11.790293216705322,0.6
slaver,-5.9608553647994995,-1.0
olyvar,45.69771921634674,0.3157894736842105
myranda,22.718217492103577,0.13636363636363635
aemon,-0.2836499810218811,0.0
malko,10.08286802470684,0.25
olly,9.544926345348358,0.28
lord of bones,-31.3653906583786,-0.7142857142857143
karsi,-15.41666704416275,-0.5714285714285714
loboda,-15.759308218955994,-0.38461538461538464
areo,22.027169495821,0.75
thin man,3.494263172149658,0.3333333333333333
stannis,-29.90498973429203,-0.07849829351535836
shireen,-2.3911890983581543,-0.053763440860215055
selyse,6.5465143471956235,-0.022222222222222223
bolton officer,-11.03078830242157,-1.0
doran,18.231705754995346,0.13333333333333333
trystane,16.13930970430374,0.38461538461538464
pycelle,-25.665367245674133,-0.23076923076923078
alliser thorne,-8.26932778954506,-0.041666666666666664
balon,-42.891478683799505,-0.4146341463414634
ned,25.50671435892582,0.047619047619047616
vala,-3.6232550144195557,-0.3333333333333333
little bird,3.528400421142578,0.3333333333333333
arthur,9.775044560432434,0.5
mace tyrell,0.23009681701660156,0.0
bowen marsh,-4.58531379699707,-1.0
othell yarwick,-3.579685926437378,-1.0
osha,-66.59934015572071,-0.18620689655172415
aeron,6.071295380592346,0.1111111111111111
kinvara,8.827377796173096,0.4
rickard,2.94937539100647,0.3333333333333333
hodor,-35.08994464576244,-0.6595744680851063
